wkt_geom	localityId	localityName	dataId	x	y	latitude	longitude	zone	altitude	horiz_precision	vert_precision	planeType	dip	dipAzimuth	strike	declination	unitId	timedate	notes
Point (739389.5399303799495101 4488360.10643809009343386)	d105cbc8ad9120878b0349d998fcf718	15M	5e3ca383fa4399e5975a84f584e25efa	739389.53993038	4488360.10643809	40.5114354	-6.17450757	29T	6.87470459	2.34653263	-1	Bedding	54.19126129	53.10480499	323.10479736	-0.25527954	Qtz+Ss+Ms	Fri Aug 30 15:31:44 2024	
Point (739393.63094208994880319 4488356.59743345994502306)	d105cbc8ad9120878b0349d998fcf718	15M	7688c9c8691bde2c6f12562ea6bc2648	739393.63094209	4488356.59743346	40.51140265	-6.17446066	29T	3	2.38633818	-1	Bedding	44.88835907	40.48779678	310.48779297	-0.25527954	Qtz+Ss+Ms	Fri Aug 30 15:31:33 2024	
Point (739500.71842836996074766 4488353.05819015018641949)	d105cbc8ad9120878b0349d998fcf718	15M	0b91a3bbce78222902a73cc06127a4c6	739500.71842837	4488353.05819015	40.5113399	-6.17319952	29T	4.09271872	4.74865153	-1	Bedding	31.89488411	47.09967422	317.09967041	-0.25527954	Qtz+Ss+Ms	Fri Aug 30 15:25:22 2024	
Point (739504.36645005003083497 4488350.7398920701816678)	d105cbc8ad9120878b0349d998fcf718	15M	ae8614f2db621e4ae6870d4458308fbe	739504.36645005	4488350.73989207	40.51131799	-6.17315739	29T	3	4.74865153	-1	Bedding	32	49.86959839	319.86959839	-0.25527954	Qtz	Fri Aug 30 15:23:40 2024	
Point (739498.55154324998147786 4488351.36692919954657555)	d105cbc8ad9120878b0349d998fcf718	15M	0052c7504d3e9e3f48e92ce2f9f38554	739498.55154325	4488351.3669292	40.51132531	-6.1732257	29T	3.13171185	4.74865153	-1	Bedding	26.17522812	58.87598038	328.87597656	-0.25527954	Qtz+Ss+Ms	Fri Aug 30 15:22:10 2024	
Point (739500.06870663003064692 4488354.29011194035410881)	d105cbc8ad9120878b0349d998fcf718	15M	e3a0ba4dde0a3229069ec962cc15835f	739500.06870663	4488354.29011194	40.51135117	-6.17320671	29T	3.91844735	2.71953552	-1	Bedding	35.6187973	49.71837997	319.71838379	-0.25527954	Qtz	Fri Aug 30 15:21:46 2024	
Point (739489.8261797099839896 4488364.32925202045589685)	d105cbc8ad9120878b0349d998fcf718	15M	4a258069a09f87bab7839bea53f0ead0	739489.82617971	4488364.32925202	40.51144446	-6.17332367	29T	3.67054719	4.74865153	-1	Bedding	33.52936172	34.40727615	304.4072876	-0.25527954	Qtz	Fri Aug 30 15:18:10 2024	
Point (739481.26562852994538844 4488369.31029336992651224)	d105cbc8ad9120878b0349d998fcf718	15M	6735f80d47c564d5847dbf2cf69a9dcb	739481.26562853	4488369.31029337	40.51149175	-6.17342271	29T	3.02940915	4.74865153	-1	Bedding	41.25455475	33.62426376	303.62426758	-0.25527954	Qtz	Fri Aug 30 15:16:19 2024	
Point (739483.41000109002925456 4488368.02551508974283934)	d105cbc8ad9120878b0349d998fcf718	15M	ca00067288ce18fefe7edb88eaa330de	739483.41000109	4488368.02551509	40.51147957	-6.17339791	29T	6.76198296	4.74865153	-1	Bedding	44.03905106	42.51003265	312.51004028	-0.25527954	Qtz	Fri Aug 30 15:16:08 2024	
Point (739485.34173981996718794 4488366.49380628019571304)	d105cbc8ad9120878b0349d998fcf718	15M	0740e2df6f0d17baf4d809192e4f5de9	739485.34173982	4488366.49380628	40.51146523	-6.17337572	29T	5.65158958	4.74865153	-1	Bedding	54.88591003	53.27885056	323.27883911	-0.25527954	Qtz	Fri Aug 30 15:15:58 2024	
